Basin ID: 02349900, NSE losses: [0.40510278940200806], mean NSE losses: 0.40510278940200806
Basin ID: 02350900, NSE losses: [0.17318737506866455], mean NSE losses: 0.17318737506866455
Basin ID: 02361000, NSE losses: [0.2767624258995056], mean NSE losses: 0.2767624258995056
Basin ID: 02363000, NSE losses: [0.1811313033103943], mean NSE losses: 0.1811313033103943
Basin ID: 02369800, NSE losses: [0.29311782121658325], mean NSE losses: 0.29311782121658325
Basin ID: 02371500, NSE losses: [0.12223517894744873], mean NSE losses: 0.12223517894744873
Basin ID: 02372250, NSE losses: [0.15886616706848145], mean NSE losses: 0.15886616706848145
Basin ID: 02374500, NSE losses: [0.3063610792160034], mean NSE losses: 0.3063610792160034
Basin ID: 02408540, NSE losses: [0.38747936487197876], mean NSE losses: 0.38747936487197876
Basin ID: 02415000, NSE losses: [0.36436980962753296], mean NSE losses: 0.36436980962753296
Basin ID: 02422500, NSE losses: [0.37717974185943604], mean NSE losses: 0.37717974185943604
Basin ID: 02427250, NSE losses: [0.35333383083343506], mean NSE losses: 0.35333383083343506
Basin ID: 02450250, NSE losses: [0.4695743918418884], mean NSE losses: 0.4695743918418884
Basin ID: 02464000, NSE losses: [0.45475804805755615], mean NSE losses: 0.45475804805755615
Basin ID: 02464360, NSE losses: [0.3234297037124634], mean NSE losses: 0.3234297037124634
Basin ID: 02469800, NSE losses: [0.37858206033706665], mean NSE losses: 0.37858206033706665
Basin ID: 02472000, NSE losses: [0.3112224340438843], mean NSE losses: 0.3112224340438843
Basin ID: 02472500, NSE losses: [0.23852312564849854], mean NSE losses: 0.23852312564849854
Basin ID: 02479155, NSE losses: [0.3546929955482483], mean NSE losses: 0.3546929955482483
Basin ID: 02479300, NSE losses: [0.3630867600440979], mean NSE losses: 0.3630867600440979
Basin ID: 02479560, NSE losses: [0.3515533208847046], mean NSE losses: 0.3515533208847046
Basin ID: 02481000, NSE losses: [0.3422897458076477], mean NSE losses: 0.3422897458076477
Basin ID: 02481510, NSE losses: [0.3917692303657532], mean NSE losses: 0.3917692303657532
